id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
499,2,"1, 2, 5, 6",1,1,0,0,1,1,3,"2, 3",2,4,4,4,4,4,3,4,4,3,1,1,1,0,0,0,0,26,9,5,5,2,3,9,1,1
500,1,1,1,0,0,0,0,0,2,4,1,4,4,3,4,1,4,4,4,4,2,1,1,0,1,1,0,40,9,5,5,2,3,8,1,1
501,2,"1, 2, 3, 4, 5",1,1,1,1,1,0,3,"2, 3, 4",3,5,5,4,5,4,4,4,5,5,1,1,1,0,0,,1,55,8,4,5,2,4,8,3,1
502,2,"2, 5, 6",0,1,0,0,1,1,3,"1, 2, 3",3,3,5,2,3,5,1,1,3,4,2,1,0,0,1,1,0,23,13,4,1,2,1,10,1,1
503,2,"1, 5, 6",1,0,0,0,1,1,3,"2, 3, 4",3,4,4,3,5,4,3,4,4,4,4,1,1,0,0,,0,21,13,3,1,1,1,13,1,1
504,3,1,1,0,0,0,0,0,2,2,1,5,5,5,5,4,4,5,5,5,1,1,1,0,1,1,1,40,10,5,1,2,1,13,1,4
505,2,"1, 2, 5",1,1,0,0,1,0,3,"2, 3, 4",3,5,4,1,4,5,2,1,4,4,4,1,1,1,1,1,0,27,8,4,5,2,3,2,2,1
506,1,"1, 2, 5, 6",1,1,0,0,1,1,1,"1, 3, 4",3,4,4,1,5,4,1,2,4,3,1,1,1,1,0,,1,58,9,3,7,5,3,9,1,1
507,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"2, 3",2,4,4,3,3,5,5,4,4,5,3,1,1,1,0,0,0,18,5,3,1,1,3,5,2,1
508,2,"1, 2",1,1,0,0,0,0,2,2,1,4,4,2,4,4,4,4,4,5,"1, 2",2,1,0,0,1,1,38,8,5,5,2,1,10,3,1
509,2,"1, 2, 5",1,1,0,0,1,0,3,"1, 2, 3, 4",4,1,5,1,4,4,3,4,4,4,2,1,0,0,0,,1,39,10,4,5,2,1,13,1,1
510,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,1,3,1,5,5,1,5,5,5,4,5,4,2,1,1,1,1,,0,29,10,4,4,2,1,10,1,1
511,2,"1, 2, 5",1,1,0,0,1,0,3,"1, 2",2,5,5,4,5,2,2,5,5,1,1,1,1,0,0,,0,55,1,4,7,4,1,13,1,1
512,3,"1, 2",1,1,0,0,0,0,2,1,1,5,3,1,5,3,4,3,5,4,1,1,1,0,0,,1,50,10,4,7,3,1,10,1,1
513,3,"1, 4, 5",1,0,0,1,1,0,4,"1, 2, 4",3,4,3,2,5,2,4,3,4,4,3,1,1,1,1,1,1,28,11,3,7,2,3,11,1,1
514,2,"1, 2, 4",1,1,0,1,0,0,2,"1, 2, 3, 4",4,1,4,1,3,3,3,1,1,1,2,1,1,0,0,,0,33,10,4,5,2,1,10,1,1
515,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,4,"2, 3, 4",3,4,5,4,3,5,5,5,3,3,1,1,0,0,0,0,0,25,3,4,5,2,3,3,2,3
516,3,5,0,0,0,0,1,0,2,2,1,4,4,4,5,4,2,2,4,3,2,1,1,0,1,1,0,18,8,0,1,1,4,8,3,1
517,1,1,1,0,0,0,0,0,1,2,1,5,3,1,3,3,1,1,5,1,1,1,0,0,0,1,0,42,13,5,5,2,1,13,1,1
518,2,"1, 2, 5, 6",1,1,0,0,1,1,2,"1, 2, 3",3,5,4,3,5,5,3,4,4,4,1,1,1,0,0,0,1,45,14,5,1,5,5,15,,1
519,2,2,0,1,0,0,0,0,2,3,1,5,5,1,4,5,4,5,5,4,2,1,1,0,0,,0,28,9,4,5,2,4,9,3,1
520,2,"2, 6",0,1,0,0,0,1,2,"1, 3",2,4,4,3,3,5,4,4,2,3,1,1,1,0,0,,0,28,7,4,7,3,1,13,1,1
521,3,"1, 2",1,1,0,0,0,0,2,"2, 3",2,4,4,2,4,2,2,3,3,4,2,1,1,0,0,,1,31,9,5,5,2,2,10,2,4
522,2,"1, 2, 4, 5",1,1,0,1,1,0,2,"1, 2, 3, 4",4,3,4,2,5,1,1,1,1,1,2,1,1,0,0,,0,27,10,5,1,2,4,10,3,4
523,3,"1, 2, 6",1,1,0,0,0,1,3,"1, 2, 3, 4",4,5,5,4,4,4,4,4,4,5,3,1,1,1,0,1,1,42,10,5,5,2,3,10,1,1
524,1,6,0,0,0,0,0,1,2,2,1,2,2,2,4,2,2,2,3,1,2,1,0,0,0,,0,35,10,4,5,2,3,8,3,1
525,3,"1, 2, 3, 5",1,1,1,0,1,0,1,"1, 2, 3, 4",4,3,2,4,4,4,1,1,5,4,2,1,1,0,0,1,1,47,10,2,3,2,1,13,1,1
526,1,"1, 2, 5",1,1,0,0,1,0,2,1,1,3,4,3,4,3,3,3,3,3,2,1,0,0,0,,1,37,10,4,4,2,3,10,1,1
527,2,"1, 2, 5, 6",1,1,0,0,1,1,4,"2, 3",2,4,5,5,5,5,5,4,5,3,1,1,0,0,0,,0,28,8,4,1,1,3,8,1,1
528,3,6,0,0,0,0,0,1,3,1,1,2,3,3,3,5,3,3,5,3,2,1,0,0,0,1,0,29,10,4,7,2,1,10,1,1
529,3,5,0,0,0,0,1,0,2,"1, 2, 3",3,5,5,5,5,3,5,5,5,5,1,1,1,1,0,1,0,23,11,5,1,1,3,11,1,1
530,2,1,1,0,0,0,0,0,3,2,1,5,5,3,4,3,3,4,4,4,3,1,0,1,0,0,0,28,8,4,5,2,1,10,1,1
531,2,1,1,0,0,0,0,0,3,2,1,5,5,4,5,1,4,4,5,5,2,1,1,0,0,0,0,28,10,4,5,2,4,10,3,1
532,2,"1, 6",1,0,0,0,0,1,1,"3, 4",2,3,4,1,4,5,1,3,3,1,1,1,1,0,0,0,1,34,7,4,5,2,3,11,1,4
533,3,"1, 5, 6",1,0,0,0,1,1,1,"1, 2, 3",3,5,1,1,1,3,1,5,3,1,2,1,0,0,1,0,0,29,11,5,4,3,1,13,1,4
534,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"1, 2, 3, 4",4,4,4,3,4,4,3,4,4,4,1,1,0,0,0,1,0,26,8,5,5,2,3,10,1,1
535,2,"1, 2",1,1,0,0,0,0,4,"2, 4",2,4,4,2,4,2,4,4,4,3,1,1,1,0,0,1,1,26,13,4,4,2,3,13,1,1
536,3,5,0,0,0,0,1,0,2,3,1,4,4,4,4,4,4,4,4,1,2,1,0,0,0,1,1,32,8,4,5,2,3,10,1,1
537,3,2,0,1,0,0,0,0,3,"1, 2",2,5,5,4,5,4,4,4,4,4,1,1,0,0,0,1,0,24,9,4,5,2,4,9,3,1
538,2,"1, 2, 4",1,1,0,1,0,0,4,"1, 4",2,4,3,4,4,4,4,4,4,5,2,1,1,0,0,,1,46,9,4,7,4,1,10,1,1
539,3,"2, 3, 5, 6",0,1,1,0,1,1,3,"1, 2, 3, 4",4,4,5,3,3,4,4,4,3,3,"1, 3",2,1,0,0,1,0,18,8,3,1,1,1,8,1,1
540,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,4,"1, 2, 4",3,4,4,4,4,4,4,3,4,4,3,1,1,1,0,0,0,22,9,0,5,2,4,9,3,1
541,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,3,3,3,3,3,3,3,4,3,1,1,0,1,0,1,0,36,10,5,5,2,2,10,1,1
542,2,"1, 4",1,0,0,1,0,0,3,"1, 2, 4",3,4,4,4,5,4,3,4,4,5,"3, 4",2,1,0,1,0,1,42,13,5,5,3,1,13,1,1
543,1,"1, 2, 4, 6",1,1,0,1,0,1,2,3,1,2,3,3,3,4,4,3,3,3,1,1,0,0,0,,1,30,14,4,4,3,1,13,1,1
544,2,"1, 2, 5, 6",1,1,0,0,1,1,4,"1, 2, 3, 4",4,5,5,4,5,5,4,5,5,4,1,1,1,0,0,,0,23,9,4,5,2,4,9,3,1
545,3,"1, 2, 3, 4, 5",1,1,1,1,1,0,3,"1, 2, 3",3,5,4,4,4,4,4,3,4,3,2,1,1,0,0,1,0,22,9,4,1,1,4,9,4,1
546,1,"1, 5",1,0,0,0,1,0,4,"3, 4",2,3,1,1,4,3,3,3,3,3,1,1,0,0,0,,1,40,7,5,7,4,1,7,2,4
547,3,"1, 2, 4, 5",1,1,0,1,1,0,3,"1, 2, 3, 4",4,3,5,5,4,3,5,5,3,3,2,1,0,0,0,1,0,27,14,4,5,2,3,14,1,4
548,2,"1, 6",1,0,0,0,0,1,3,"1, 2, 3, 4",4,3,4,2,3,3,2,2,3,2,1,1,1,0,0,,0,23,8,4,1,1,1,10,1,1
549,3,5,0,0,0,0,1,0,3,3,1,4,4,4,4,4,5,2,3,3,1,1,1,0,0,0,1,27,10,4,5,2,1,10,1,1
550,2,"1, 2, 3",1,1,1,0,0,0,4,"1, 2, 4",3,4,4,4,4,4,4,3,4,3,2,1,1,0,0,0,0,24,9,4,5,2,4,9,3,1
551,2,"1, 2, 3",1,1,1,0,0,0,4,"1, 2, 4",3,4,4,4,4,4,3,3,4,3,2,1,1,1,0,1,0,24,9,4,5,2,4,9,3,1
552,3,5,0,0,0,0,1,0,4,1,1,4,4,3,4,4,5,3,3,3,1,1,0,0,0,,0,23,7,4,5,2,1,7,1,1
553,2,5,0,0,0,0,1,0,1,3,1,4,4,4,4,4,4,4,4,4,1,1,0,0,0,1,0,26,9,5,5,2,3,9,1,1
554,3,6,0,0,0,0,0,1,2,3,1,4,1,3,3,5,4,3,3,3,1,1,0,0,0,0,0,20,10,0,1,1,1,10,1,2
555,3,"1, 2",1,1,0,0,0,0,3,"1, 2, 3",3,4,4,4,4,1,4,4,4,3,3,1,0,0,0,1,0,24,9,4,5,2,4,9,3,1
556,2,"1, 2, 3",1,1,1,0,0,0,4,"1, 2, 4",3,4,4,4,4,4,3,3,4,3,2,1,1,0,0,0,0,24,9,4,5,2,4,9,3,1
557,3,5,0,0,0,0,1,0,4,1,1,4,4,3,4,4,5,4,4,4,2,1,0,0,0,,0,32,10,5,7,2,1,10,1,1
558,2,5,0,0,0,0,1,0,4,1,1,5,5,4,5,4,5,5,5,5,3,1,1,1,1,1,0,23,9,4,7,2,4,9,3,1
559,2,4,0,0,0,1,0,0,1,3,1,3,3,4,5,3,5,3,4,3,3,1,1,1,1,1,0,17,14,3,2,1,3,14,1,1
560,3,5,0,0,0,0,1,0,4,3,1,5,5,5,5,3,3,3,5,3,1,1,0,0,0,1,1,27,10,2,3,2,3,10,1,1
561,3,"1, 2, 3, 5",1,1,1,0,1,0,3,"1, 2",2,5,4,1,5,4,4,5,5,4,1,1,0,0,0,,0,20,9,4,5,2,4,9,3,1
562,2,2,0,1,0,0,0,0,2,1,1,5,5,5,5,4,1,1,5,1,2,1,0,0,0,0,0,41,9,4,5,2,4,9,3,1
563,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"1, 2, 3, 4",4,5,4,2,4,4,4,4,5,4,1,1,1,1,0,,0,33,10,5,5,2,3,10,1,1
564,2,2,0,1,0,0,0,0,3,1,1,4,5,1,5,4,4,5,5,5,2,1,0,0,0,0,0,22,9,4,5,1,3,9,1,1
565,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"1, 2, 3, 4",4,4,4,4,5,5,4,4,3,3,1,1,0,0,0,,0,24,10,4,5,2,3,10,1,4
566,3,"2, 4, 5",0,1,0,1,1,0,3,1,1,5,5,3,5,4,5,4,4,4,2,1,1,0,0,,0,21,9,4,5,2,3,9,1,1
567,3,6,0,0,0,0,0,1,4,4,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,1,23,1,1,2,5,3,1,4,4
568,3,"1, 2",1,1,0,0,0,0,1,"3, 4",2,5,5,1,5,1,4,3,3,3,1,1,1,0,0,0,0,26,9,4,7,1,4,9,3,1
569,2,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 3, 4",4,4,5,4,5,3,3,5,3,3,2,1,0,0,0,,1,28,10,5,5,2,1,13,1,4
570,3,"1, 2, 4, 5",1,1,0,1,1,0,4,"1, 2",2,5,3,5,5,1,4,3,4,1,2,1,0,0,0,0,1,38,10,4,7,5,3,10,1,4
571,1,"1, 2, 4, 6",1,1,0,1,0,1,3,1,1,5,5,5,5,4,5,5,5,4,1,1,0,0,0,0,1,46,13,4,5,2,1,13,1,4
572,2,2,0,1,0,0,0,0,3,2,1,5,5,4,4,4,3,3,4,2,2,1,0,0,0,0,0,27,10,4,5,2,2,10,1,1
573,2,"1, 4, 5, 6",1,0,0,1,1,1,3,"1, 3, 4",3,5,4,3,4,4,4,4,3,3,2,1,1,0,0,,1,46,9,4,7,4,1,10,1,1
574,1,2,0,1,0,0,0,0,2,1,1,1,5,1,1,1,1,1,1,1,2,1,0,0,0,,0,32,3,4,7,2,3,3,2,2
575,3,"2, 4, 5",0,1,0,1,1,0,1,"2, 3, 4",3,4,4,5,5,5,5,5,4,5,1,1,0,0,0,0,1,25,5,4,4,2,3,5,2,1
576,2,"1, 2, 3, 5",1,1,1,0,1,0,1,"2, 3, 4",3,2,5,4,1,1,1,2,2,1,1,1,1,0,0,1,0,36,10,4,5,2,2,10,1,2
577,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,4,3,3,3,4,4,4,4,4,"1, 3",2,1,1,0,,0,23,10,4,7,4,1,10,1,1
578,3,"1, 4, 5",1,0,0,1,1,0,1,"1, 2, 3",3,3,1,2,3,4,5,3,5,2,1,1,0,0,0,0,1,15,13,3,1,1,1,13,1,1
579,1,"1, 2, 3, 4, 5",1,1,1,1,1,0,3,"1, 2, 3, 4",4,5,5,5,5,1,1,1,5,1,1,1,1,0,0,1,1,23,10,4,4,2,1,10,1,1
580,2,"1, 2, 6",1,1,0,0,0,1,3,"2, 4",2,5,5,4,5,4,4,4,4,5,1,1,1,0,1,1,1,25,1,4,1,1,3,1,2,3
581,3,5,0,0,0,0,1,0,3,"2, 4",2,4,2,1,3,1,2,2,4,1,3,1,1,0,0,,0,24,8,4,5,2,4,8,3,1
582,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,2,4,1,5,5,5,5,5,5,5,5,5,3,1,1,0,0,0,1,40,13,3,6,2,3,11,1,2
583,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,5,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,27,10,4,7,3,3,10,1,1
584,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"2, 3",2,4,5,4,4,4,4,4,3,1,2,1,0,0,0,0,1,43,1,4,5,2,3,8,1,1
585,2,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 4",3,5,4,3,5,4,3,3,5,3,2,1,0,0,0,0,1,43,13,4,5,2,4,13,3,2
586,3,"4, 5, 6",0,0,0,1,1,1,2,"1, 2, 3",3,1,1,1,4,2,4,1,4,4,1,1,1,0,0,,0,28,10,4,5,2,4,10,3,1
587,3,1,1,0,0,0,0,0,4,4,1,5,5,4,5,2,3,4,4,3,1,1,1,0,0,1,1,39,10,4,6,2,1,10,1,2
588,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,3,"2, 3",2,4,4,4,4,5,4,3,3,3,3,1,1,0,0,0,1,21,9,0,1,1,4,9,3,1
589,3,"1, 2, 4, 5",1,1,0,1,1,0,4,"1, 2, 3, 4",4,5,4,2,5,4,5,5,3,2,3,1,1,0,0,0,0,22,8,0,1,1,3,8,1,1
590,2,1,1,0,0,0,0,0,2,"1, 2, 3",3,4,3,2,5,4,1,1,4,1,1,1,1,0,0,1,1,23,10,4,4,2,1,10,2,1
591,2,"1, 2, 5, 6",1,1,0,0,1,1,3,"2, 3, 4",3,3,4,2,4,3,3,3,4,1,3,1,1,0,0,1,1,23,10,4,1,1,1,10,1,1
592,2,6,0,0,0,0,0,1,2,2,1,4,4,3,4,5,3,3,4,3,2,1,0,0,0,0,1,22,10,0,1,1,1,10,1,1
593,3,3,0,0,1,0,0,0,1,2,1,5,5,5,5,4,4,4,4,4,2,1,1,0,0,1,1,25,10,4,4,2,1,10,1,1
594,2,"2, 5",0,1,0,0,1,0,3,2,1,5,5,3,5,3,3,4,4,4,1,1,1,0,0,1,0,24,8,4,5,2,1,1,1,1
595,3,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,5,5,5,5,5,4,4,4,3,1,1,1,0,0,,1,23,10,0,1,1,1,10,1,1
596,2,2,0,1,0,0,0,0,1,1,1,5,5,4,5,4,5,4,5,4,2,1,1,0,0,1,0,28,8,4,5,2,3,8,3,2
597,3,"1, 2, 4, 5",1,1,0,1,1,0,3,2,1,5,4,3,5,4,4,4,3,1,2,1,1,1,0,0,0,23,9,4,5,2,3,9,1,1
598,2,"1, 2, 6",1,1,0,0,0,1,2,"1, 3, 4",3,4,4,2,4,5,3,3,3,3,1,1,1,0,0,,0,29,10,4,4,3,1,13,,4
599,2,2,0,1,0,0,0,0,4,3,1,3,3,3,3,3,3,3,3,3,2,1,1,0,0,,0,28,10,4,7,3,1,13,1,1
600,3,"1, 2, 5, 6",1,1,0,0,1,1,2,"1, 2, 3, 4",4,4,4,2,4,4,5,3,4,1,1,1,0,0,0,,0,28,10,4,4,4,1,10,1,1
601,1,"1, 2, 4",1,1,0,1,0,0,2,3,1,5,5,3,3,5,5,5,5,3,2,1,0,0,0,0,0,28,10,4,5,3,1,10,1,1
602,2,"1, 2, 6",1,1,0,0,0,1,2,"1, 2, 3, 4",4,4,4,3,5,4,3,4,5,5,"1, 2",2,1,0,0,,1,24,10,4,7,2,4,10,4,1
603,3,"1, 5, 6",1,0,0,0,1,1,3,"1, 2, 3, 4",4,3,4,4,5,5,4,4,5,5,2,1,1,0,0,1,1,23,10,4,7,2,1,10,1,1
604,2,"1, 2",1,1,0,0,0,0,3,"2, 3, 4",3,3,5,1,5,3,2,3,4,3,1,1,0,0,0,,0,23,11,4,1,1,3,11,1,4
605,2,"1, 2",1,1,0,0,0,0,3,"2, 3, 4",3,3,5,1,5,3,2,3,4,3,1,1,0,0,0,,0,23,11,4,1,1,3,11,1,4
606,3,"1, 6",1,0,0,0,0,1,3,3,1,1,5,1,5,5,4,3,3,1,2,1,0,0,0,0,0,28,10,4,7,3,1,10,1,4
607,2,6,0,0,0,0,0,1,4,"1, 4",2,4,4,4,4,5,5,2,4,3,2,1,1,1,0,1,1,32,10,4,7,5,3,10,1,1
608,3,"1, 5",1,0,0,0,1,0,3,1,1,3,3,4,5,1,4,3,4,4,2,1,0,0,0,0,0,28,10,4,7,3,4,10,3,1
609,2,5,0,0,0,0,1,0,2,"1, 3",2,3,4,1,3,3,2,2,3,1,2,1,0,0,0,0,0,27,7,4,5,2,3,7,2,4
610,3,"1, 2",1,1,0,0,0,0,1,2,1,3,4,4,5,1,1,3,3,1,2,1,0,0,0,0,0,29,8,5,5,2,1,10,1,1
611,2,"1, 2, 3",1,1,1,0,0,0,3,"1, 2, 3, 4",4,5,5,3,3,3,3,5,2,3,2,1,1,1,0,1,1,22,1,4,1,1,1,1,2,4
612,1,4,0,0,0,1,0,0,1,3,1,3,3,1,3,4,5,5,3,1,2,1,0,0,0,0,0,28,10,4,4,2,1,10,2,1
613,2,"1, 2, 5",1,1,0,0,1,0,2,"1, 2",2,5,5,1,4,1,1,1,4,1,1,1,0,0,0,0,0,52,10,6,5,2,1,10,1,1
614,3,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 3, 4",4,5,5,1,3,4,5,2,5,4,1,1,1,0,0,1,0,28,10,5,5,2,1,10,1,1
615,2,"1, 2, 5",1,1,0,0,1,0,3,"1, 2, 4",3,5,5,1,5,1,1,1,5,1,1,1,1,0,0,1,1,35,8,4,4,3,3,8,1,1
616,3,6,0,0,0,0,0,1,2,3,1,3,4,4,3,5,4,1,4,2,2,1,1,0,0,0,0,28,10,4,5,2,1,10,1,1
617,3,"1, 2, 4, 5",1,1,0,1,1,0,4,"1, 2, 4",3,4,4,2,4,2,4,5,4,5,2,1,1,0,0,0,1,38,8,5,5,2,1,13,1,1
618,2,"1, 2, 6",1,1,0,0,0,1,3,2,1,4,4,3,5,4,1,1,4,3,1,1,0,0,0,0,0,51,10,4,7,3,1,10,1,1
619,2,"1, 2, 6",1,1,0,0,0,1,3,"2, 3",2,4,5,4,4,4,4,3,3,4,2,1,1,0,1,1,0,24,9,4,1,1,3,9,2,1
620,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,1,"2, 3",2,5,5,1,5,4,4,5,5,4,1,1,1,0,0,,0,26,10,5,5,2,4,10,3,1
621,3,"1, 2, 4, 5",1,1,0,1,1,0,1,"2, 3, 4",3,4,4,1,4,4,4,5,4,4,"1, 2",2,1,0,0,0,0,18,13,3,1,1,1,13,1,1
622,3,"1, 2, 5",1,1,0,0,1,0,4,"1, 2, 4",3,4,4,4,5,4,4,5,5,4,3,1,1,1,1,1,1,39,4,5,5,2,3,4,2,1
623,3,"1, 2, 4, 5",1,1,0,1,1,0,4,"1, 2, 3, 4",4,5,3,3,4,1,1,1,4,1,2,1,1,0,0,0,1,30,8,4,4,2,1,10,1,1
624,3,"1, 2, 3, 5",1,1,1,0,1,0,2,"2, 3",2,3,5,4,5,4,5,1,3,1,2,1,0,0,0,1,0,29,10,5,7,2,1,10,1,1
625,3,"1, 2, 3, 5",1,1,1,0,1,0,4,"1, 2, 4",3,5,5,5,5,3,3,3,5,5,3,1,1,0,0,,1,43,9,4,7,5,1,10,1,1
626,3,"1, 2, 3, 5",1,1,1,0,1,0,4,"1, 2, 4",3,5,5,5,5,3,3,3,5,5,3,1,1,0,0,,1,43,9,4,7,5,1,10,1,1
627,2,6,0,0,0,0,0,1,3,"2, 3",2,3,4,4,4,5,4,4,5,2,1,1,1,0,1,1,0,26,8,5,5,2,1,8,1,1
628,1,"1, 2, 5",1,1,0,0,1,0,1,"1, 2, 3, 4",4,5,5,2,4,2,3,5,5,2,4,1,0,0,0,0,1,41,13,5,7,5,1,13,1,1
629,3,"1, 2, 3, 4, 5",1,1,1,1,1,0,4,"1, 3, 4",3,3,5,4,5,4,4,4,3,4,2,1,0,0,0,,1,23,10,4,4,2,2,10,1,1
630,3,"1, 2, 4",1,1,0,1,0,0,2,"2, 3",2,5,4,5,5,4,1,1,5,1,2,1,1,0,0,,0,33,8,5,5,2,3,14,1,1
631,3,"2, 3, 4",0,1,1,1,0,0,1,3,1,4,5,3,2,4,4,3,3,2,2,1,0,0,0,0,0,28,10,5,4,4,5,15,2,1
632,3,"1, 2, 6",1,1,0,0,0,1,4,"1, 2, 3, 4",4,4,4,4,5,5,4,4,4,4,1,1,1,1,0,0,1,28,10,4,4,4,1,13,1,1
633,3,"1, 5, 6",1,0,0,0,1,1,3,"1, 2, 3, 4",4,5,4,4,5,4,4,4,5,5,3,1,1,0,1,1,1,28,4,4,7,5,3,4,2,1
634,1,"2, 4, 5, 6",0,1,0,1,1,1,3,"2, 3, 4",3,5,5,4,3,4,4,1,5,1,1,1,0,0,0,0,1,17,10,0,1,1,1,10,1,1
635,2,"1, 2, 4, 5",1,1,0,1,1,0,4,"1, 2, 3, 4",4,4,4,3,4,3,4,4,4,3,2,1,1,0,0,0,0,23,9,4,1,1,3,9,1,1
636,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,4,"1, 2, 3, 4",4,4,4,4,5,4,5,5,5,1,2,1,1,0,0,,0,19,9,0,5,2,4,9,4,1
637,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,3,"2, 3, 4",3,4,5,1,5,4,4,4,5,4,1,1,1,0,0,0,0,23,8,4,1,2,4,8,3,1
638,2,"4, 5",0,0,0,1,1,0,3,"2, 3",2,2,4,4,5,1,5,4,5,5,2,1,0,1,1,,1,23,10,4,4,2,1,10,1,1
639,2,"1, 2, 3, 5",1,1,1,0,1,0,1,"1, 2, 3, 4",4,5,5,3,4,4,1,1,4,1,2,1,0,0,0,0,0,57,13,4,7,3,1,10,1,1
640,3,1,1,0,0,0,0,0,2,1,1,5,4,1,5,4,1,1,4,4,1,1,1,0,0,,0,48,10,6,5,2,1,10,1,1
641,3,"1, 2, 5, 6",1,1,0,0,1,1,3,"2, 3, 4",3,2,4,1,3,4,2,2,1,2,1,1,1,0,0,,0,21,13,0,1,1,1,13,1,1
642,3,"1, 2, 4, 5",1,1,0,1,1,0,1,"1, 2, 3, 4",4,2,1,1,3,1,1,2,2,2,2,1,1,0,0,1,0,45,13,6,5,2,1,13,1,1
643,2,"1, 2, 5",1,1,0,0,1,0,2,"1, 2, 4",3,4,4,1,4,4,4,5,4,3,3,1,1,0,0,0,0,28,10,4,5,2,3,10,1,1
644,2,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,2,"1, 2, 3",3,5,5,5,5,4,4,5,5,3,1,1,0,0,0,0,1,27,10,4,7,2,1,10,1,1
645,3,"1, 2, 3, 4, 5",1,1,1,1,1,0,2,"1, 2",2,4,4,2,5,4,4,1,5,2,2,1,1,0,0,0,0,21,13,4,1,1,1,13,1,1
646,2,1,1,0,0,0,0,0,2,2,1,3,5,3,4,4,4,1,4,1,2,1,0,0,0,0,0,30,10,4,5,2,4,10,3,4
647,3,3,0,0,1,0,0,0,3,1,1,5,4,2,4,2,2,3,4,2,2,1,1,0,0,0,0,32,10,5,5,2,3,10,1,1
648,3,1,1,0,0,0,0,0,1,1,1,5,4,4,4,5,1,4,2,2,2,1,0,0,0,0,1,35,10,5,5,2,3,10,1,1
649,2,"1, 2",1,1,0,0,0,0,4,"1, 3, 4",3,5,5,3,4,4,4,5,4,5,3,1,0,0,0,0,1,63,11,4,4,4,1,13,1,1
650,2,"1, 2, 3, 5",1,1,1,0,1,0,2,"1, 2",2,5,4,3,4,3,3,4,4,4,2,1,1,0,0,,0,52,8,6,5,2,1,10,1,4
651,3,"1, 5, 6",1,0,0,0,1,1,3,"1, 2, 3, 4",4,5,4,2,4,5,3,2,3,3,1,1,0,0,0,0,0,31,13,4,4,4,1,13,1,1
652,1,2,0,1,0,0,0,0,2,1,1,1,5,1,1,1,1,1,1,1,2,1,1,0,0,0,0,32,3,4,7,2,3,3,2,2
653,3,"1, 2, 4, 6",1,1,0,1,0,1,1,"2, 3, 4",3,1,4,1,1,4,4,1,1,1,1,1,0,0,0,0,0,29,10,4,5,1,3,10,1,1
654,1,2,0,1,0,0,0,0,1,"3, 4",2,5,4,1,4,4,2,3,4,4,2,1,0,0,0,,1,18,10,0,1,1,1,10,1,1
655,1,"1, 2",1,1,0,0,0,0,3,2,1,5,4,2,5,4,1,3,4,1,2,1,0,0,1,1,0,40,10,6,5,2,2,10,1,1
656,2,"1, 2",1,1,0,0,0,0,2,4,1,5,5,3,3,3,3,3,5,3,3,1,1,0,1,1,1,45,10,4,7,2,1,10,1,2
657,2,"1, 2, 5, 6",1,1,0,0,1,1,3,"1, 2, 4",3,5,5,1,4,4,4,5,5,4,3,1,0,0,0,,1,65,10,4,4,2,1,10,1,1
658,2,"1, 2, 5",1,1,0,0,1,0,1,"1, 2, 3",3,4,4,3,4,2,2,4,3,4,3,1,0,0,0,0,1,54,7,5,7,5,1,13,1,4
659,3,1,1,0,0,0,0,0,1,1,1,4,4,4,4,4,4,1,3,3,2,1,0,0,0,0,0,39,13,4,2,1,1,13,1,1
660,3,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"2, 3, 4",3,4,5,2,4,4,4,4,3,3,1,1,1,0,0,,0,24,10,4,7,3,1,10,1,1
