id,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,SIU_INGroup,informational_use,SIU_1,SIU_2,SIU_3,entertainment_use,OEP_1,political_efficacy,OEP_2,OEP_3,OEP_4_Data,OEP_4,OFEP_1,OFEP_2,OFEP_3,OFEP_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party
395,2,"1, 6",1,0,0,0,0,1,1,"3, 4",2,4,4,3,4,5,4,1,4,3,1,1,1,0,0,0,0,49,10,4,7,1,1,10,1,1
396,2,"1, 2",1,1,0,0,0,0,1,"1, 4",2,4,4,3,4,5,4,4,3,3,1,1,0,0,0,0,0,27,10,4,4,2,1,10,1,1
397,3,"1, 2, 4, 5",1,1,0,1,1,0,2,"1, 2, 4",3,4,4,1,4,1,4,1,4,3,2,1,1,0,0,1,0,26,11,4,5,2,3,7,2,1
398,2,"1, 2",1,1,0,0,0,0,2,"2, 4",2,4,4,3,4,5,4,4,3,3,1,1,0,0,0,0,0,24,10,0,1,1,1,10,1,1
399,2,"2, 6",0,1,0,0,0,1,3,"2, 3, 4",3,3,3,4,4,4,3,3,3,1,2,1,1,0,0,0,0,21,9,0,1,1,3,9,2,1
400,2,"1, 2, 5, 6",1,1,0,0,1,1,1,"1, 3",2,3,5,2,3,5,3,1,3,1,2,1,0,0,0,,0,30,10,4,4,3,1,10,1,1
401,2,"1, 2, 4, 5, 6",1,1,0,1,1,1,2,"2, 3, 4",3,5,5,4,5,4,4,4,4,4,3,1,0,0,0,1,0,21,10,4,4,2,1,10,1,1
402,1,"1, 2, 3, 5",1,1,1,0,1,0,1,"1, 2, 3, 4",4,4,4,4,5,1,1,1,4,1,1,1,0,0,0,,1,42,10,4,5,2,1,7,2,4
403,2,"1, 2, 6",1,1,0,0,0,1,2,2,1,4,4,4,4,4,2,2,2,2,2,1,0,0,0,0,0,24,7,4,4,3,3,7,4,1
404,3,5,0,0,0,0,1,0,3,3,1,4,4,4,3,3,3,3,4,3,2,1,1,0,1,1,1,21,7,0,1,1,1,7,4,3
405,2,6,0,0,0,0,0,1,4,"2, 3",2,5,5,1,5,5,1,4,5,5,1,1,1,0,0,0,0,23,10,5,1,1,1,10,1,1
406,3,"2, 6",0,1,0,0,0,1,4,"1, 3",2,4,5,3,5,4,5,5,4,3,2,1,0,0,0,1,0,21,10,4,7,1,1,10,1,1
