,Unnamed: 0,Unnamed: 0.1,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty,age_group
135,135,135,136,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,0.8,5,1,5,1.0,5,0.8,5,4,1,1,0,0,0,0,0,23,10,4,7,2,2,10,,1,0.80000001,0.86666667,0.76249999,0.0,1,0,0,0,young
136,136,136,137,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 3000-5000 friends,"1, 2, 3, 4",4,0.6,5,1,3,0.8,4,0.6,3,1,2,1,1,0,0,0,0,22,10,4,5,2,4,10,3.0,4,0.69999999,0.69999999,0.46250001,0.25,0,0,0,1,young
137,137,137,138,More than 3 Hours,"2, 3, 4",0,1,1,1,0,0,between 300-1000 friends,1,1,0.6,5,4,4,0.6,4,0.2,3,3,2,1,1,0,0,1,0,24,10,4,7,2,1,10,1.0,1,0.71249998,0.63749999,0.5625,0.5,1,0,0,0,young
138,138,138,139,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"2, 4",2,0.8,3,4,4,0.8,5,0.6,3,4,1,1,0,0,0,0,1,17,13,4,1,1,1,13,1.0,1,0.67500001,0.75833333,0.66250002,0.0,1,0,0,0,young
139,139,139,140,Between 1 Hour and 3 Hours,"1, 5",1,0,0,0,1,0,between 300-1000 friends,"2, 3, 4",3,0.6,3,3,4,0.8,5,0.6,3,3,1,1,0,0,0,0,0,20,8,3,1,1,1,13,1.0,1,0.6875,0.69583333,0.61250001,0.0,1,0,0,0,young
140,140,140,141,Less than 1 Hour,6,0,0,0,0,0,1,between 300-1000 friends,3,1,0.2,1,1,3,1.0,1,0.2,1,1,2,1,1,0,0,0,1,34,13,4,4,2,1,13,1.0,4,0.3125,0.50416666,0.21250001,0.25,0,0,0,1,medum
141,141,141,142,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 3, 4",4,1.0,5,2,5,0.8,2,0.8,5,1,2,1,1,1,1,1,0,45,7,4,7,2,1,10,1.0,1,0.85000002,0.88333333,0.46250001,1.0,1,0,0,0,medum
142,142,142,143,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,0.6,5,5,5,1.0,5,0.6,4,1,1,1,0,0,0,0,0,25,13,4,4,2,1,13,1.0,4,1.0,0.86666667,0.5625,0.0,0,0,0,1,young
143,143,143,144,Less than 1 Hour,5,0,0,0,0,1,0,between 300-1000 friends,2,1,1.0,4,1,5,0.2,4,1.0,3,5,2,1,0,0,0,1,0,22,10,4,2,1,4,10,3.0,1,0.5625,0.58749998,0.66250002,0.25,1,0,0,0,young
144,144,144,145,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,"2, 4",2,0.8,3,3,4,0.6,3,0.8,4,4,1,1,0,0,0,0,0,35,13,6,5,2,1,13,1.0,1,0.625,0.67500001,0.61250001,0.0,1,0,0,0,medum
